,team,season,league
930,Saint-Etienne,2018,Ligue_1
931,Bordeaux,2018,Ligue_1
932,Reims,2018,Ligue_1
933,Lyon,2018,Ligue_1
934,Dijon,2018,Ligue_1
935,Amiens,2018,Ligue_1
936,Strasbourg,2018,Ligue_1
937,Nimes,2018,Ligue_1
938,Lille,2019,Ligue_1
939,Paris Saint Germain,2019,Ligue_1
940,Rennes,2019,Ligue_1
941,Marseille,2019,Ligue_1
942,Montpellier,2019,Ligue_1
943,Angers,2019,Ligue_1
944,Nantes,2019,Ligue_1
945,Nice,2019,Ligue_1
946,Monaco,2019,Ligue_1
947,Toulouse,2019,Ligue_1
948,Saint-Etienne,2019,Ligue_1
949,Bordeaux,2019,Ligue_1
950,Reims,2019,Ligue_1
951,Lyon,2019,Ligue_1
952,Metz,2019,Ligue_1
953,Dijon,2019,Ligue_1
954,Amiens,2019,Ligue_1
955,Strasbourg,2019,Ligue_1
956,Nimes,2019,Ligue_1
957,Brest,2019,Ligue_1
958,Lille,2020,Ligue_1
959,Paris Saint Germain,2020,Ligue_1
960,Rennes,2020,Ligue_1
961,Marseille,2020,Ligue_1
962,Montpellier,2020,Ligue_1
963,Angers,2020,Ligue_1
964,Nantes,2020,Ligue_1
965,Nice,2020,Ligue_1
966,Monaco,2020,Ligue_1
967,Saint-Etienne,2020,Ligue_1
968,Bordeaux,2020,Ligue_1
969,Reims,2020,Ligue_1
970,Lyon,2020,Ligue_1
971,Lorient,2020,Ligue_1
972,Metz,2020,Ligue_1
973,Dijon,2020,Ligue_1
974,Lens,2020,Ligue_1
975,Strasbourg,2020,Ligue_1
976,Nimes,2020,Ligue_1
977,Brest,2020,Ligue_1
978,Lille,2021,Ligue_1
979,Paris Saint Germain,2021,Ligue_1
980,Rennes,2021,Ligue_1
981,Marseille,2021,Ligue_1
982,Montpellier,2021,Ligue_1
983,Angers,2021,Ligue_1
984,Nantes,2021,Ligue_1
985,Nice,2021,Ligue_1
986,Monaco,2021,Ligue_1
987,Troyes,2021,Ligue_1
988,Saint-Etienne,2021,Ligue_1
989,Bordeaux,2021,Ligue_1
990,Reims,2021,Ligue_1
991,Lyon,2021,Ligue_1
992,Lorient,2021,Ligue_1
993,Metz,2021,Ligue_1
994,Lens,2021,Ligue_1
995,Strasbourg,2021,Ligue_1
996,Brest,2021,Ligue_1
997,Clermont Foot,2021,Ligue_1
998,Lille,2022,Ligue_1
999,Paris Saint Germain,2022,Ligue_1
1000,Rennes,2022,Ligue_1
1001,Marseille,2022,Ligue_1
1002,Montpellier,2022,Ligue_1
1003,Angers,2022,Ligue_1
1004,Nantes,2022,Ligue_1
1005,Nice,2022,Ligue_1
1006,Monaco,2022,Ligue_1
1007,Troyes,2022,Ligue_1
1008,Toulouse,2022,Ligue_1
1009,Reims,2022,Ligue_1
1010,Lyon,2022,Ligue_1
1011,Lorient,2022,Ligue_1
1012,Lens,2022,Ligue_1
1013,Strasbourg,2022,Ligue_1
1014,Brest,2022,Ligue_1
1015,Clermont Foot,2022,Ligue_1
1016,Ajaccio,2022,Ligue_1
1017,Auxerre,2022,Ligue_1
1018,Lille,2023,Ligue_1
1019,Paris Saint Germain,2023,Ligue_1
1020,Rennes,2023,Ligue_1
1021,Marseille,2023,Ligue_1
1022,Montpellier,2023,Ligue_1
1023,Nantes,2023,Ligue_1
1024,Nice,2023,Ligue_1
1025,Monaco,2023,Ligue_1
1026,Toulouse,2023,Ligue_1
1027,Reims,2023,Ligue_1
1028,Lyon,2023,Ligue_1
1029,Lorient,2023,Ligue_1
1030,Metz,2023,Ligue_1
1031,Lens,2023,Ligue_1
1032,Strasbourg,2023,Ligue_1
1033,Brest,2023,Ligue_1
1034,Clermont Foot,2023,Ligue_1
1035,Le Havre,2023,Ligue_1
1036,Lille,2024,Ligue_1
1037,Paris Saint Germain,2024,Ligue_1
1038,Rennes,2024,Ligue_1
1039,Marseille,2024,Ligue_1
1040,Montpellier,2024,Ligue_1
1041,Angers,2024,Ligue_1
1042,Nantes,2024,Ligue_1
1043,Nice,2024,Ligue_1
1044,Monaco,2024,Ligue_1
1045,Toulouse,2024,Ligue_1
1046,Saint-Etienne,2024,Ligue_1
1047,Reims,2024,Ligue_1
1048,Lyon,2024,Ligue_1
1049,Lens,2024,Ligue_1
1050,Strasbourg,2024,Ligue_1
1051,Brest,2024,Ligue_1
1052,Auxerre,2024,Ligue_1
1053,Le Havre,2024,Ligue_1
1054,Lille,2025,Ligue_1
1055,Paris Saint Germain,2025,Ligue_1
1056,Rennes,2025,Ligue_1
1057,Marseille,2025,Ligue_1
1058,Angers,2025,Ligue_1
1059,Nantes,2025,Ligue_1
1060,Nice,2025,Ligue_1
1061,Monaco,2025,Ligue_1
1062,Toulouse,2025,Ligue_1
1063,Lyon,2025,Ligue_1
1064,Lorient,2025,Ligue_1
1065,Metz,2025,Ligue_1
1066,Lens,2025,Ligue_1
1067,Strasbourg,2025,Ligue_1
1068,Brest,2025,Ligue_1
1069,Auxerre,2025,Ligue_1
1070,Le Havre,2025,Ligue_1
1071,Paris FC,2025,Ligue_1
