player_id,player_name,date,league,xG_per_90,xA_per_90,xGChain_per_90,value,age,year
575.0,Nordin Amrabat,2014-10-05,La_Liga,0.074689677259063,0.0148534741567666,0.1241750548840226,4500000,27.515400410677618,2014.7611225188227
501.0,Danny Welbeck,2014-10-05,EPL,0.5334886017431849,0.1412784727754387,0.8124359021353168,18000000,23.857631759069132,2014.7611225188227
2494.0,Denis Cheryshev,2014-10-12,La_Liga,0.6806771406539777,0.3305142066802924,1.04444691716105,4000000,23.794661190965094,2014.7802874743327
2416.0,Carlos Vela,2014-10-22,La_Liga,0.2100198458020503,0.0211201149683732,0.2308680360706953,18000000,25.642710472279262,2014.807665982204
2380.0,Paco Alcácer,2014-10-22,La_Liga,0.3851338251493871,0.3732871101703495,0.7363350056111814,20000000,21.144421629021217,2014.807665982204
4129.0,Toché,2014-10-23,La_Liga,0.428248067055979,0.0,0.428248067055979,800000,31.808350444900753,2014.8104038329911
4133.0,Federico Piovaccari,2014-10-23,La_Liga,0.0584762073951224,0.0,0.1004116451495314,1500000,30.140999315537304,2014.8104038329911
4119.0,Alberto Bueno,2014-10-23,Bundesliga,0.6098524838065108,0.023174937426423,0.5287104099988937,4000000,26.5927446954141,2014.8104038329911
2591.0,Mikel Arruabarrena,2014-10-23,La_Liga,0.2138997028980936,0.0231643616380642,0.1312487423076607,500000,31.701574264202602,2014.8104038329911
2134.0,Saúl Berjón,2014-10-23,La_Liga,0.1100550264092608,0.2317807438518728,0.226518974134293,1000000,28.416153319644078,2014.8104038329911
2088.0,Edgar Méndez,2014-10-23,La_Liga,0.2169972783077262,0.0665919159254628,0.2727119894530959,1000000,24.804928131416837,2014.8104038329911
1724.0,Isaac Success,2014-10-23,La_Liga,0.0374654950493522,0.0627567163354553,0.1002219997840243,1000000,18.792607802874745,2014.8104038329911
2136.0,Izet Hajrovic,2014-11-03,Bundesliga,0.2297856765314599,0.0749528957572997,0.2379160160325231,3500000,23.249828884325805,2014.8405201916496
209.0,Josip Drmic,2014-11-03,EPL,0.2538424496775243,0.0534912993881239,0.3044654417838623,8000000,22.236824093086927,2014.8405201916496
2271.0,Fernando Torres,2014-11-08,La_Liga,0.2340575617242169,0.1760707446071621,0.4800951708253327,7000000,30.636550308008214,2014.8542094455852
1847.0,Giampaolo Pazzini,2014-11-08,Serie_A,0.5273042832102094,0.0,0.5752575663583619,7500000,30.26694045174538,2014.8542094455852
1517.0,Antonio Candreva,2014-11-08,Serie_A,0.2805142967055922,0.5377843990054441,0.9861133390501754,23000000,27.693360711841205,2014.8542094455852
3832.0,Massimo Coda,2014-11-08,Serie_A,0.7035430009519705,0.1027971706411579,0.8551481656075521,1500000,25.99315537303217,2014.8542094455852
2254.0,Mateo Kovacic,2014-11-08,Serie_A,0.0356425397098064,0.2285009980201721,0.3478448063135147,22000000,20.50924024640657,2014.8542094455852
1513.0,Mauro Icardi,2014-11-08,Serie_A,0.6386972308158875,0.2202060412615537,0.479238411784172,21000000,21.71663244353183,2014.8542094455852
1252.0,Stephan El Shaarawy,2014-11-08,Serie_A,0.0510658179314769,0.2957944524726958,0.6313175825353267,18000000,22.031485284052017,2014.8542094455852
1604.0,Artur Ionita,2014-11-08,Serie_A,0.1561894340133204,0.0289742612433664,0.3614666576958397,2000000,24.227241615331966,2014.8542094455852
1383.0,Manolo Gabbiadini,2014-11-08,Serie_A,0.3693002144641735,0.1684505558189223,0.5711910359369701,12000000,22.951403148528406,2014.8542094455852
1229.0,Luis Muriel,2014-11-08,Serie_A,0.1453409989069147,0.1922145354129919,0.299999777954526,11000000,23.564681724845997,2014.8542094455852
1186.0,Andrea Belotti,2014-11-08,Serie_A,0.3644113249966663,0.0441771427288724,0.4085886551828807,5000000,20.88432580424367,2014.8542094455852
1424.0,Federico Bernardeschi,2014-11-08,Serie_A,0.5368215803056955,0.357471889257431,0.9579303335398436,4500000,20.725530458590008,2014.8542094455852
1294.0,Paulo Dybala,2014-11-08,Serie_A,0.3611037294959296,0.0985524337738752,0.4600802003531843,6500000,20.980150581793293,2014.8542094455852
3409.0,Johan Audel,2014-11-20,Ligue_1,0.270524005095164,0.1146246365581949,0.4908956711490949,500000,30.940451745379878,2014.8870636550307
2284.0,Daniel Wass,2014-11-20,Ligue_1,0.2389663830399513,0.1958934527821839,0.2081439405679702,5000000,25.472963723477072,2014.8870636550307
3277.0,Alexandre Lacazette,2014-11-20,Ligue_1,0.5663221701979637,0.2754446603357792,0.8579507976770402,17000000,23.482546201232033,2014.8870636550307
4848.0,Michael Frey,2014-11-20,Ligue_1,0.0435075511828669,0.1128191047511692,0.1638760432802342,3000000,20.33949349760438,2014.8870636550307
484.0,Divock Origi,2014-11-20,Ligue_1,0.2729549580760816,0.0438371942480011,0.2084442311990084,9000000,19.592060232717316,2014.8870636550307
3696.0,Morgan Sanson,2014-11-20,Ligue_1,0.0150337297395426,0.1034473191493794,0.1104663822698238,3500000,20.257357973990416,2014.8870636550307
3263.0,Thomas Touré,2014-11-20,Ligue_1,0.041622945196401,0.0633949178166656,0.3156580021643539,1500000,20.89801505817933,2014.8870636550307
3667.0,Nabil Fekir,2014-11-20,Ligue_1,0.2831322189539353,0.2361656512391377,0.4970583287959403,4500000,21.34154688569473,2014.8870636550307
3724.0,Baptiste Guillaume,2014-11-20,Ligue_1,0.0516720954328775,0.0422113126842305,0.1162642496638,750000,19.430527036276523,2014.8870636550307
1878.0,Miroslav Klose,2015-01-07,Serie_A,0.6788922923127401,0.2670100638546894,0.3776978616861953,1000000,36.580424366872,2015.01916495551
1315.0,Massimo Maccarone,2015-01-07,Serie_A,0.4058118059821248,0.1626034945463449,0.5110994307547094,500000,35.337440109514034,2015.01916495551
1347.0,Sergio Pellissier,2015-01-07,Serie_A,0.6186379705156598,0.1749832038672603,0.777069805380033,200000,35.73990417522245,2015.01916495551
1255.0,Francesco Totti,2015-01-07,Serie_A,0.1372647237258787,0.3323164966683418,0.6890523790741881,1000000,38.27789185489391,2015.01916495551
1955.0,Luca Toni,2015-01-07,Serie_A,0.6801098391413689,0.1887610167264938,0.6239878058433532,500000,37.61806981519507,2015.01916495551
1888.0,Antonio Di Natale,2015-01-07,Serie_A,0.2960065516610496,0.0933767514773451,0.3161936343763583,1000000,37.23477070499658,2015.01916495551
1879.0,Stefano Mauri,2015-01-07,Serie_A,0.5425208257284106,0.0464122201793077,0.5365402823904666,500000,34.997946611909654,2015.01916495551
1494.0,Mauricio Pinilla,2015-01-07,Serie_A,0.7160182187662405,0.0067541764720397,0.5299552858752363,2200000,30.924024640657084,2015.01916495551
2018.0,Amauri,2015-01-07,Serie_A,0.2070993655284897,0.1513077766771932,0.4886781192980096,500000,34.59548254620123,2015.01916495551
