player_id,player_name,date,year,age,league,goals_per_90,xG_per_90,assists_per_90,xA_per_90,key_passes_per_90,xGChain_per_90,xGBuildup_per_90,value
3293,Lucas Moura,2014-10-17 19:30:00,2014.583162217659,21.965776865160848,FR1,0.3935860058309038,0.2688398226856664,0.0,0.1307516075866215,1.5743440233236152,0.6462339177162932,0.3128763293146913,31000000.0
3294,Edinson Cavani,2014-10-17 19:30:00,2014.583162217659,27.460643394934976,FR1,0.4306220095693779,0.5112143638922553,0.0,0.0473306131990332,0.645933014354067,0.5250081956457864,0.1345147969620079,57000000.0
4770,Yoann Touzghar,2014-10-17 19:30:00,2014.599589322382,27.690622861054074,FR1,0.2425876010781671,0.3760752777727145,0.1212938005390835,0.1391352934767856,0.6064690026954178,0.4895863723200607,0.0665698946526429,1000000.0
4758,Alexy Bosetti,2014-10-18 19:00:00,2014.599589322382,21.28952772073922,FR1,0.4245283018867924,0.1419118891979725,0.0,0.0372236316039596,0.990566037735849,0.2948187493701588,0.1565054600250046,2500000.0
1064,Sylvain Marveaux,2014-10-18 19:00:00,2014.5886379192334,28.301163586584533,FR1,0.0,0.0681987528627861,0.2694610778443114,0.1653758725876401,1.347305389221557,0.3260083900329595,0.2042157799117044,2000000.0
2272,Yannick Carrasco,2014-10-18 19:00:00,2014.599589322382,20.922655715263517,FR1,0.1311953352769679,0.2857120849908962,0.1311953352769679,0.1473147252645159,0.6559766763848396,0.4532492400823112,0.1690037709011889,5000000.0
942,Florian Thauvin,2014-10-19 13:00:00,2014.599589322382,21.527720739219713,FR1,0.2545968882602546,0.44522493956492,0.1272984441301273,0.1101434523505823,1.272984441301273,0.7344816428578894,0.2091417773304009,14000000.0
4747,André-Pierre Gignac,2014-10-19 13:00:00,2014.599589322382,28.670773442847366,FR1,1.0321100917431194,0.6267183159537819,0.0,0.0279704616362348,0.3096330275229358,0.5437921722411015,0.0928510302985343,9000000.0
3394,Romain Alessandrini,2014-10-19 13:00:00,2014.599589322382,25.34428473648186,FR1,0.3103448275862069,0.377144840192692,0.6206896551724138,0.4613011163370363,2.793103448275862,0.9444074658998128,0.301413108562601,8000000.0
3210,Wissam Ben Yedder,2014-10-19 13:00:00,2014.599589322382,23.98631074606434,FR1,0.6264501160092807,0.4567905082831942,0.0,0.184338360229667,1.6705336426914152,0.5278342294132903,0.1134880882711635,6500000.0
734,Wahbi Khazri,2014-10-19 16:00:00,2014.5886379192334,23.482546201232033,FR1,0.4141104294478528,0.3760557930253766,0.0,0.0781612738144178,1.1042944785276074,0.3599160723388195,0.101275991625581,5500000.0
3731,Nicolas Maurice-Belay,2014-10-19 16:00:00,2014.5886379192334,29.28952772073922,FR1,0.12,0.0306589923799037,0.12,0.1647931826859712,1.92,0.4828073957562446,0.3427341124042868,2500000.0
3590,Souleymane Camara,2014-10-19 20:00:00,2014.599589322382,31.6249144421629,FR1,0.3956043956043956,0.3781822344267761,0.0,0.1618821320461702,0.7912087912087912,0.8043594763174161,0.3169135235168122,1500000.0
3277,Alexandre Lacazette,2014-10-19 20:00:00,2014.599589322382,23.195071868583163,FR1,0.8,0.541697183996439,0.3,0.1803752325475215,1.7,0.7223092049360276,0.2548819940537214,11500000.0
1451,Anthony Mounier,2014-10-19 20:00:00,2014.599589322382,26.861054072553046,GR1,0.1060070671378091,0.1471049699260994,0.2120141342756183,0.2966704883023622,1.9081272084805656,0.415547483998874,0.1610393204163536,3000000.0
3696,Morgan Sanson,2014-10-19 20:00:00,2014.599589322382,19.969883641341546,FR1,0.1055099648300117,0.1208884367481275,0.1055099648300117,0.0998151708931464,1.0550996483001172,0.3117057039748532,0.1122675086224204,2250000.0
3213,Adrien Regattin,2014-10-24 19:30:00,2014.599589322382,22.9596167008898,GR1,0.320855614973262,0.1571257516522617,0.481283422459893,0.184360736144338,2.406417112299465,0.1764209389208472,0.1126625610983626,1500000.0
4778,Alharbi El Jadeyaoui,2014-10-24 19:30:00,2014.599589322382,27.99726214921287,FR1,0.1789264413518886,0.1026888355560911,0.0,0.023298459368245,0.536779324055666,0.1910818611673462,0.0842321627249359,750000.0
3659,Christopher Maboulou,2014-10-25 19:00:00,2014.583162217659,24.369609856262834,GR1,0.3562005277044855,0.1011654842733393,0.0,0.016573369392442,0.5936675461741425,0.1591464524258095,0.0433621651402092,750000.0
2999,Gianni Bruno,2014-10-25 19:00:00,2014.5886379192334,22.95687885010267,FR1,0.1633393829401088,0.3673133233768321,0.1633393829401088,0.0787791545873004,1.1433756805807622,0.4150377588512244,0.0349966721937141,2000000.0
3343,Ryad Boudebouz,2014-10-25 19:00:00,2014.583162217659,24.44626967830253,FR1,0.1140684410646387,0.1250797767942849,0.0,0.1098569331003685,1.368821292775665,0.16127811411941,0.132623255932739,3500000.0
2284,Daniel Wass,2014-10-25 19:00:00,2014.5886379192334,25.17453798767967,FR1,0.4114285714285715,0.2135342975173677,0.2057142857142857,0.1232674078536885,1.44,0.2497857099345752,0.1068577537792069,3750000.0
3354,Sébastien Corchia,2014-10-26 13:00:00,2014.599589322382,23.76454483230664,FR1,0.0,0.0258320264184652,0.0,0.0633780120997064,1.2313432835820897,0.1077675223072518,0.0850700835155239,4500000.0
464,Max Gradel,2014-10-26 16:00:00,2014.599589322382,26.68583162217659,FR1,0.2941176470588235,0.4434721736127839,0.0,0.1666291022454114,2.3529411764705883,0.5925599940340308,0.1421501638148637,3000000.0
3513,Kévin Monnet-Paquet,2014-10-26 16:00:00,2014.599589322382,25.965776865160848,FR1,0.1167315175097276,0.1343957719244497,0.0,0.1593990044139238,1.2840466926070038,0.4000335605633862,0.1706806138331788,2750000.0
3393,Bouna Sarr,2014-10-26 16:00:00,2014.599589322382,22.5160848733744,FR1,0.0,0.0703580070286989,0.0,0.037848436222835,1.1454545454545455,0.203901395201683,0.1239726424894549,1000000.0
3243,Gaëtan Charbonnier,2014-10-31 19:30:00,2014.599589322382,25.609856262833677,FR1,0.0,0.1805448384007061,0.1104294478527607,0.0692951515934035,0.5521472392638037,0.3422863619184932,0.1624737443642382,2000000.0
3570,Benjamin Moukandjo,2014-10-31 19:30:00,2014.599589322382,25.73305954825462,GR1,0.4192546583850932,0.2343385198055216,0.0,0.1134187528597457,1.5372670807453417,0.3069080128941847,0.0595172530803713,1500000.0
4085,Sammir,2014-10-31 19:45:00,2014.5503080082135,27.241615331964407,ES1,0.1688555347091932,0.0600673012631136,0.1688555347091932,0.1488480104682145,1.5196998123827392,0.2444805896108861,0.0944666347097724,3000000.0
2199,Pablo Sarabia,2014-10-31 19:45:00,2014.5503080082135,22.190280629705683,ES1,0.0,0.1365844667922678,0.1294964028776978,0.2156687864511133,3.107913669064748,0.4013482049214754,0.1352996553877274,4000000.0
